label,message
ham,"Hey, are we meeting at 2 PM?"
ham,I'll call you after work.
ham,"Hey, are we meeting at 9 AM?"
spam,Earn money fast from home. Join now!
ham,Thanks for your help!
ham,Let's have lunch tomorrow.
ham,Your appointment is confirmed for Tuesday.
spam,Win a vacation package absolutely FREE!
ham,Your appointment is confirmed for Friday.
ham,"Hey, are we meeting at 5 PM?"
spam,Claim your lottery prize of $100.
ham,Don't forget the meeting at 2 PM.
spam,FREE iPhone waiting for you. Claim today!
ham,Let's have lunch tomorrow.
ham,Please review the attached document.
ham,Your appointment is confirmed for Wednesday.
ham,Let's have lunch tomorrow.
ham,Thanks for your help!
ham,Let's have lunch tomorrow.
ham,"Hey, are we meeting at 10 AM?"
ham,Please review the attached document.
spam,You are our lucky winner! Redeem now.
spam,Exclusive deal ends today. Click here!
ham,Let's have lunch tomorrow.
ham,Thanks for your help!
ham,Don't forget the meeting at 5 PM.
spam,Limited offer! Buy now and save 60%.
spam,Congratulations! You won $100 cash. Click now!
ham,Please review the attached document.
ham,Don't forget the meeting at 5 PM.
ham,Thanks for your help!
ham,Thanks for your help!
spam,Claim your lottery prize of $250.
spam,URGENT: Verify your account immediately.
ham,I'll call you after work.
ham,Happy birthday! Have a great day.
ham,Thanks for your help!
ham,"Hey, are we meeting at 9 AM?"
ham,Let's have lunch tomorrow.
ham,Don't forget the meeting at 9 AM.
ham,I'll call you after work.
spam,Exclusive deal ends today. Click here!
ham,Don't forget the meeting at 5 PM.
ham,Can you send me the report?
ham,Your appointment is confirmed for Friday.
ham,Can you send me the report?
ham,Don't forget the meeting at 7 PM.
ham,"Hey, are we meeting at 9 AM?"
ham,"Hey, are we meeting at 2 PM?"
ham,Let's have lunch tomorrow.
ham,Don't forget the meeting at 7 PM.
ham,See you at the office.
spam,Claim your lottery prize of $500.
ham,"Hey, are we meeting at 9 AM?"
ham,Your appointment is confirmed for Tuesday.
spam,Earn money fast from home. Join now!
ham,Let's have lunch tomorrow.
ham,I'll call you after work.
spam,Earn money fast from home. Join now!
ham,Can you send me the report?
ham,Can you send me the report?
spam,Congratulations! You won $1000 cash. Click now!
ham,See you at the office.
ham,Thanks for your help!
spam,You have been selected for a reward. Visit now!
ham,"Hey, are we meeting at 2 PM?"
spam,Exclusive deal ends today. Click here!
spam,Earn money fast from home. Join now!
spam,FREE iPhone waiting for you. Claim today!
ham,Don't forget the meeting at 10 AM.
ham,Don't forget the meeting at 9 AM.
ham,Don't forget the meeting at 7 PM.
ham,Can you send me the report?
ham,Happy birthday! Have a great day.
ham,I'll call you after work.
ham,Don't forget the meeting at 9 AM.
ham,Thanks for your help!
ham,I'll call you after work.
ham,See you at the office.
ham,Thanks for your help!
ham,I'll call you after work.
spam,FREE iPhone waiting for you. Claim today!
spam,URGENT: Verify your account immediately.
ham,Can you send me the report?
ham,"Hey, are we meeting at 9 AM?"
ham,"Hey, are we meeting at 9 AM?"
ham,Let's have lunch tomorrow.
ham,Please review the attached document.
spam,Limited offer! Buy now and save 30%.
ham,Don't forget the meeting at 7 PM.
ham,"Hey, are we meeting at 2 PM?"
ham,"Hey, are we meeting at 2 PM?"
ham,I'll call you after work.
ham,Please review the attached document.
ham,Can you send me the report?
ham,"Hey, are we meeting at 10 AM?"
ham,Please review the attached document.
spam,FREE iPhone waiting for you. Claim today!
ham,Can you send me the report?
ham,Can you send me the report?
ham,Please review the attached document.
ham,Let's have lunch tomorrow.
ham,Thanks for your help!
spam,URGENT: Verify your account immediately.
ham,Let's have lunch tomorrow.
ham,Your appointment is confirmed for Thursday.
ham,Thanks for your help!
ham,Can you send me the report?
ham,"Hey, are we meeting at 7 PM?"
ham,Can you send me the report?
spam,Win a vacation package absolutely FREE!
ham,I'll call you after work.
