Country,Capital,Official_language
Afghanistan,Kabul,Pashto
Albania,Tirana,Albanian
Algeria,Algiers,Arabic
Andorra,Andorra la Vella,Catalan
Angola,Luanda,Portuguese
Antigua and Barbuda,"St. John's, Saint John",English
Argentina,Buenos Aires,Spanish
Armenia,Yerevan,Armenian
Australia,Canberra,None
Austria,Vienna,German
Azerbaijan,Baku,Azerbaijani language
The Bahamas,"Nassau, Bahamas",English
Bahrain,Manama,Arabic
Bangladesh,Dhaka,Bengali
Barbados,Bridgetown,English
Belarus,Minsk,Russian
Belgium,City of Brussels,French
Belize,Belmopan,English
Benin,Porto-Novo,French
Bhutan,Thimphu,Dzongkha
Bolivia,Sucre,Spanish
Bosnia and Herzegovina,Sarajevo,Bosnian
Botswana,Gaborone,English
Brazil,Brasï¿½ï¿½ï¿½,Portuguese
Brunei,Bandar Seri Begawan,Malay
Bulgaria,Sofia,Bulgarian
Burkina Faso,Ouagadougou,French
Burundi,Bujumbura,Kirundi
Ivory Coast,Yamoussoukro,French
Cape Verde,Praia,Portuguese
Cambodia,Phnom Penh,Khmer language
Cameroon,Yaoundï¿½,French
Canada,Ottawa,French
Central African Republic,Bangui,French
Chad,N'Djamena,French
Chile,Santiago,Spanish
China,Beijing,Standard Chinese
Colombia,Bogotï¿½,Spanish
Comoros,"Moroni, Comoros",French
Republic of the Congo,Brazzaville,French
Costa Rica,San Josï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Spanish
Croatia,Zagreb,Croatian
Cuba,Havana,Spanish
Cyprus,Nicosia,Greek
Czech Republic,Prague,Czech
Democratic Republic of the Congo,Kinshasa,French
Denmark,Copenhagen,Danish
Djibouti,Djibouti City,French
Dominica,Roseau,English
Dominican Republic,Santo Domingo,Spanish
Ecuador,Quito,Spanish
Egypt,Cairo,Modern Standard Arabic
El Salvador,San Salvador,Spanish
Equatorial Guinea,Malabo,Spanish
Eritrea,Asmara,Tigrinya
Estonia,Tallinn,Estonian
Eswatini,Mbabane,English
Ethiopia,Addis Ababa,Amharic
Fiji,Suva,Fiji Hindi
Finland,Helsinki,Swedish
France,Paris,French
Gabon,Libreville,French
The Gambia,Banjul,English
Georgia,Tbilisi,Georgian
Germany,Berlin,German
Ghana,Accra,English
Greece,Athens,Greek
Grenada,"St. George's, Grenada",English
Guatemala,Guatemala City,Spanish
Guinea,Conakry,French
Guinea-Bissau,Bissau,Portuguese
Guyana,"Georgetown, Guyana",English
Haiti,Port-au-Prince,French
Vatican City,Vatican City,Italian
Honduras,Tegucigalpa,Spanish
Hungary,Budapest,Hungarian
Iceland,Reykjavï¿½ï¿½,Icelandic
India,New Delhi,Hindi
Indonesia,Jakarta,Indonesian
Iran,Tehran,Persian
Iraq,Baghdad,Arabic
Republic of Ireland,Dublin,Irish
Israel,Jerusalem,Hebrew
Italy,Rome,Italian
Jamaica,"Kingston, Jamaica",Jamaican English
Japan,Tokyo,None
Jordan,Amman,Arabic
Kazakhstan,Astana,Russian
Kenya,Nairobi,Swahili
Kiribati,South Tarawa,English
Kuwait,Kuwait City,Modern Standard Arabic
Kyrgyzstan,Bishkek,Russian
Laos,Vientiane,Lao
Latvia,Riga,Latvian
Lebanon,Beirut,Arabic
Lesotho,Maseru,English
Liberia,Monrovia,English
Libya,,Arabic
Liechtenstein,Vaduz,German
Lithuania,Vilnius,Lithuanian
Luxembourg,Luxembourg City,Luxembourgish
Madagascar,Antananarivo,French
Malawi,Lilongwe,English
Malaysia,Kuala Lumpur,Malaysian language
Maldives,Malï¿½,Divehi
Mali,Bamako,French
Malta,Valletta,Maltese
Marshall Islands,Majuro,Marshallese
Mauritania,Nouakchott,Arabic
Mauritius,Port Louis,French
Mexico,Mexico City,None
Federated States of Micronesia,Palikir,English
Moldova,Chiï¿½ï¿½ï¿½ï¿½,Romanian
Monaco,Monaco City,French
Mongolia,Ulaanbaatar,Mongolian
Montenegro,Podgorica,Montenegrin language
Morocco,Rabat,Arabic
Mozambique,Maputo,Portuguese
Myanmar,Naypyidaw,Burmese
Namibia,Windhoek,English
Nauru,Yaren District,English
Nepal,Kathmandu,Nepali
Netherlands,Amsterdam,Dutch
New Zealand,Wellington,English
Nicaragua,Managua,Spanish
Niger,Niamey,French
Nigeria,Abuja,English
North Korea,Pyongyang,Korean
North Macedonia,Skopje,Macedonian
Norway,Oslo,Norwegian
Oman,Muscat,Arabic
Pakistan,Islamabad,Urdu
Palau,Ngerulmud,English
Palestinian National Authority,,Arabic
Panama,Panama City,Spanish
Papua New Guinea,Port Moresby,Tok Pisin
Paraguay,Asunciï¿½ï¿½,Spanish
Peru,Lima,Spanish
Philippines,Manila,English
Poland,Warsaw,Polish
Portugal,Lisbon,Portuguese
Qatar,Doha,Arabic
Romania,Bucharest,Romanian
Russia,Moscow,Russian
Rwanda,Kigali,Swahili
Saint Kitts and Nevis,Basseterre,English
Saint Lucia,Castries,English
Saint Vincent and the Grenadines,Kingstown,English
Samoa,Apia,Samoan
San Marino,City of San Marino,Italian
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Sï¿½ï¿½ï¿½ï¿½,
Saudi Arabia,Riyadh,Arabic
Senegal,Dakar,French
Serbia,Belgrade,Serbian
Seychelles,"Victoria, Seychelles",French
Sierra Leone,Freetown,English
Singapore,,Malay
Slovakia,Bratislava,Slovak
Slovenia,Ljubljana,Slovene language
Solomon Islands,Honiara,English
Somalia,Mogadishu,Arabic
South Africa,Pretoria,Afrikaans
South Korea,Seoul,Korean
South Sudan,Juba,English
Spain,Madrid,Spanish
Sri Lanka,Colombo,Tamil
Sudan,Khartoum,Arabic
Suriname,Paramaribo,Dutch
Sweden,Stockholm,Swedish
Switzerland,Bern,German
Syria,Damascus,Arabic
Tajikistan,Dushanbe,Persian
Tanzania,Dodoma,Swahili
Thailand,Bangkok,Thai
East Timor,Dili,Portuguese
Togo,Lomï¿½,French
Tonga,Nukuï¿½ï¿½ï¿½ï¿½,Tongan Language
Trinidad and Tobago,Port of Spain,English
Tunisia,Tunis,Arabic
Turkey,Ankara,Turkish
Turkmenistan,Ashgabat,Turkmen
Tuvalu,Funafuti,Tuvaluan Language
Uganda,Kampala,Swahili
Ukraine,Kyiv,Ukrainian
United Arab Emirates,Abu Dhabi,Arabic
United Kingdom,London,English
United States,"Washington, D.C.",None
Uruguay,Montevideo,Spanish
Uzbekistan,Tashkent,Uzbek
Vanuatu,Port Vila,French
Venezuela,Caracas,Spanish
Vietnam,Hanoi,Vietnamese
Yemen,Sanaa,Arabic
Zambia,Lusaka,English
Zimbabwe,Harare,Shona
